iter	Passed	Remaining
0	58	35095
1	89	26830
2	116	23152
3	142	21201
4	168	20043
5	194	19277
6	220	18646
7	246	18209
8	272	17863
9	297	17575
10	323	17313
11	348	17090
12	377	17030
13	406	16995
14	431	16812
15	455	16608
16	480	16465
17	504	16314
18	534	16335
19	565	16406
20	592	16336
21	620	16296
22	644	16177
23	669	16067
24	694	15979
25	719	15885
26	744	15792
27	769	15709
28	794	15648
29	820	15595
30	846	15537
31	874	15524
32	905	15561
33	934	15557
34	960	15510
35	989	15503
36	1013	15425
37	1037	15342
38	1061	15269
39	1085	15202
40	1110	15144
41	1136	15105
42	1162	15055
43	1186	14991
44	1211	14935
45	1234	14870
46	1257	14798
47	1282	14747
48	1305	14681
49	1332	14657
50	1365	14695
51	1402	14779
52	1450	14970
53	1507	15247
54	1558	15442
55	1603	15581
56	1659	15812
57	1706	15951
58	1755	16100
59	1805	16246
60	1857	16414
61	1902	16507
62	1943	16562
63	1982	16603
64	2020	16628
65	2060	16673
66	2100	16706
67	2139	16741
68	2178	16764
69	2224	16843
70	2264	16869
71	2303	16889
72	2342	16913
73	2381	16929
74	2420	16945
75	2458	16952
76	2496	16958
77	2534	16962
78	2572	16963
79	2610	16971
80	2658	17036
81	2703	17078
82	2741	17077
83	2779	17072
84	2817	17070
85	2856	17070
86	2895	17073
87	2932	17059
88	2971	17058
89	3009	17053
90	3049	17058
91	3089	17058
92	3129	17060
93	3168	17054
94	3207	17048
95	3244	17035
96	3282	17023
97	3321	17012
98	3359	17001
99	3398	16992
100	3436	16977
101	3475	16967
102	3515	16963
103	3555	16955
104	3591	16932
105	3630	16919
106	3672	16921
107	3711	16907
108	3748	16885
109	3784	16858
110	3821	16833
111	3862	16827
112	3901	16816
113	3941	16801
114	3978	16780
115	4015	16756
116	4053	16733
117	4091	16712
118	4129	16690
119	4167	16669
120	4205	16647
121	4242	16623
122	4280	16599
123	4317	16573
124	4353	16544
125	4392	16522
126	4431	16502
127	4469	16482
128	4506	16452
129	4542	16423
130	4579	16395
131	4617	16371
132	4655	16345
133	4693	16321
134	4732	16299
135	4770	16276
136	4807	16248
